X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0.603604555,0.77227205,2.71522431e-08,0.58319217,0.746763825,-0.00369599974,0.580057561,0.757571936,-0.00906241219,0.57915771,0.7720474,-0.0086530121,0.580808,0.784418941,-0.00883355737,0.579616964,0.80306,-0.0100684101,0.500431478,0.323395312,7.24864648e-08,0.520177245,0.287409127,-0.00102857209,0.536506891,0.293007016,-0.00481416378,0.540248096,0.296302497,-0.00485571194,0.542486072,0.299413502,-0.00576670188,0.53898263,0.301118016,-0.00570517452
0.607402682,0.774972677,1.98616181e-08,0.584191501,0.751520157,-0.00106602651,0.579842746,0.758199811,-0.00570672,0.580272794,0.77260983,-0.00578590389,0.583001077,0.783941031,-0.00618777331,0.578948855,0.803594708,-0.00780139817,0.499683529,0.323631942,7.1464811e-08,0.519498825,0.28845495,-0.00258244062,0.535758615,0.295339704,-0.00694575533,0.539224386,0.296658486,-0.00648598559,0.541572809,0.299680352,-0.00679679168,0.53843528,0.301868349,-0.00708310772
0.603969276,0.777332604,2.60111079e-08,0.586287,0.746815681,-0.00429436,0.580252349,0.757982314,-0.00885260664,0.579454303,0.773130894,-0.00897748,0.580947161,0.784910262,-0.00941107608,0.578876674,0.803863287,-0.0105009172,0.49930653,0.324002177,7.00835e-08,0.51824373,0.287169427,-0.00202918076,0.535761654,0.296879739,-0.0067079342,0.538965106,0.297786772,-0.00583839649,0.540908396,0.300850123,-0.00655346597,0.537903786,0.303189814,-0.00676182238
0.605354607,0.775098443,1.46100323e-08,0.584203482,0.749269605,-0.00306305289,0.581330478,0.75878942,-0.00827685,0.581380248,0.772451937,-0.00844774395,0.582393,0.783960521,-0.00864286348,0.578942657,0.803721726,-0.0101683633,0.498915881,0.323166966,6.17765394e-08,0.517231524,0.287277699,-0.00118448702,0.534607172,0.298829675,-0.00586052565,0.537873,0.29888317,-0.00533913309,0.540146649,0.300667226,-0.00600372953,0.537573576,0.303130358,-0.00626658881
0.606704175,0.777524412,2.63897544e-08,0.586437821,0.748377502,-0.00290402398,0.578583181,0.757416308,-0.00698688952,0.578467488,0.77219224,-0.00745379552,0.579890728,0.784538805,-0.00799774472,0.578844428,0.804446399,-0.0092933923,0.499456733,0.325297773,6.4255957e-08,0.517279565,0.280450106,-0.0018816049,0.53657645,0.298480421,-0.00699510472,0.538800418,0.301030397,-0.00597153511,0.540029168,0.303088933,-0.0060792733,0.535826921,0.304054916,-0.00633667549
0.606658816,0.775032103,2.30090169e-08,0.586251855,0.748478115,-0.0030826591,0.580296874,0.757944763,-0.0079980325,0.57842505,0.774026275,-0.00810226053,0.579103172,0.787934422,-0.00877294131,0.578914464,0.803684652,-0.010123454,0.49965176,0.325607389,5.61666589e-08,0.518528879,0.279885709,-0.00230823178,0.537911475,0.299407899,-0.00760556757,0.539685726,0.302604437,-0.00610786397,0.540185452,0.304974437,-0.00606759,0.536518216,0.306631386,-0.00630654069
0.602997661,0.775841117,3.34358141e-08,0.582948208,0.747153,-0.00405428791,0.578921,0.757193446,-0.00840218738,0.578546703,0.773366094,-0.00872807391,0.580184817,0.785375655,-0.00883483607,0.579319656,0.803499222,-0.0102120861,0.499974519,0.32740137,5.22852552e-08,0.521685541,0.285697,-0.00225729169,0.538989484,0.302993059,-0.00757876458,0.540532053,0.305326909,-0.00583486771,0.54141748,0.307698637,-0.00595355965,0.537783504,0.308750242,-0.0063240137
0.603101432,0.77328223,2.66126925e-08,0.58478874,0.749143302,-0.003551014,0.579715967,0.7591995,-0.00741829444,0.578543425,0.773302674,-0.00742576551,0.579745531,0.78597635,-0.00771677634,0.579045236,0.804501235,-0.00894864183,0.499797255,0.327590466,5.56439694e-08,0.52242887,0.280476838,-0.00216518505,0.541739047,0.305059642,-0.00769565161,0.5427953,0.308109462,-0.00603557797,0.543325722,0.311200798,-0.00634688418,0.539852321,0.312794238,-0.00728466036
0.603153646,0.773582578,1.52274229e-08,0.583356738,0.750033438,-0.00416566664,0.579928279,0.760621548,-0.00841945317,0.580822706,0.77343744,-0.0084649371,0.582525551,0.785345733,-0.00860201661,0.579054415,0.804226279,-0.0103143584,0.501177132,0.329767108,7.38677315e-08,0.524933219,0.281303316,-0.00472756615,0.544396222,0.307002813,-0.011128569,0.54555577,0.312274277,-0.00880248751,0.545764267,0.315287888,-0.00813890062,0.540641725,0.317251772,-0.00773130078
0.604329586,0.773932338,1.05708e-08,0.581928551,0.75015,-0.00268739089,0.579784572,0.760452151,-0.00616431329,0.582297087,0.773065329,-0.00686438382,0.582901835,0.784858286,-0.00677530235,0.579217136,0.804550648,-0.00862208568,0.500629663,0.331318945,7.05956609e-08,0.527877569,0.283692151,-0.00363500067,0.548697352,0.310468793,-0.0109116761,0.549031,0.31600529,-0.00847831089,0.548198044,0.318757415,-0.00843989756,0.542786598,0.320782959,-0.00864371
