comparison_id,pair,referent,hands_dtw,A_hands,B_hands,location,handshape,orientation,movement,speaker_1,round_1,trial_1,director_1,target_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj
366,12,15A,both,right,both,5,3,0,0,A,1,1_14,A,15,15A,15D,,,701700,702979,1279,B,2,2_5,B,15,,15A,,,875852,876412,560,701700,702979,1279,875852,876412,560
369,12,09C,left,left,left,5,5,5,3,A,1,1_16,A,9,09C,,,,744716,747336,2620,B,2,2_15,B,9,,09C,,,1005370,1006010,640,744716,747336,2620,1005370,1006010,640
370,12,09D,right,right,right,5,0,4,4,A,1,1_16,A,9,09D,,,,748156,752216,4060,B,2,2_15,B,9,,09D,,,996939,997299,360,748156,752216,4060,996939,997299,360
373,12,04D,left,left,left,5,0,0,1,A,2,2_2,A,4,04D,,,,799294,799614,320,B,3,3_11,B,4,,04D,,,1129435,1129975,540,799289,799619,330,1129435,1129975,540
379,12,10A+10B,both,both,both,5,0,2,5,A,2,2_12,A,10,10A+10B,,10E+10F,,953510,955307,1797,B,3,3_15,B,10,,10A+10B,,10E+10F,1171641,1172061,420,953510,955307,1797,1171641,1172061,420
381,12,08A,both,both,both,5,3,4,4,B,3,3_3,B,8,,08A,,,1040652,1040932,280,A,4,4_4,A,8,08A,,,,1238819,1238999,180,1040627,1040957,330,1238744,1239074,330
384,12,10E+10F,both,both,both,4,1,2,3,B,3,3_15,B,10,,10A+10B,,10E+10F,1171641,1172761,1120,A,4,4_16,A,10,10A+10B,,10E+10F,,1335579,1336219,640,1171641,1172761,1120,1335579,1336219,640
388,12,10E+10F,both,both,both,5,0,5,5,A,4,4_16,A,10,10A+10B,,10E+10F,,1335579,1336219,640,B,5,5_13,B,10,,10E+10F,,10A+10B,1445502,1446002,500,1335579,1336219,640,1445502,1446002,500
392,13,12C,both,right,both,1,1,1,0,B,1,1_1,B,12,,12C,,,22652,23332,680,A,1,1_1,B,12,12C,,,,38907,39267,360,22652,23332,680,38907,39267,360
394,13,02A,both,both,both,4,5,5,5,B,1,1_3,B,2,,02A,,,91202,91542,340,A,2,2_6,A,2,02A,,,,777820,778080,260,91202,91542,340,777785,778115,330
397,13,07C,both,right,both,3,2,4,5,A,1,1_4,A,7,07C,,,,155219,155499,280,B,2,2_9,B,7,,07C,,,812039,812259,220,155194,155524,330,811984,812314,330
399,13,05E,right,right,right,1,0,4,0,A,1,1_6,A,5,05E,,,,211320,212300,980,B,1,1_6,A,5,,05E,,,235540,237620,2080,211320,212300,980,235540,237620,2080
404,13,08A,both,both,both,4,4,2,2,B,1,1_9,B,8,,08A,,,437452,439212,1760,A,1,1_9,B,8,08A,,,,472622,473002,380,437452,439212,1760,472622,473002,380
405,13,08B,both,both,both,5,1,5,5,B,1,1_9,B,8,,08B,,,445474,445834,360,A,2,2_4,A,8,08B,,,,736868,737130,262,445474,445834,360,736834,737164,330
406,13,11B,right,right,right,5,5,4,2,A,1,1_10,A,11,11B,,,,483639,483859,220,B,2,2_11,B,11,,11B,,,832658,833391,733,483584,483914,330,832658,833391,733
408,13,11C,right,right,right,5,5,5,5,A,1,1_10,A,11,11C,,,,500140,500420,280,B,2,2_11,B,11,,11C,,,839540,839760,220,500115,500445,330,839485,839815,330
409,13,11D,right_left,right,left,4,4,5,2,B,1,1_10,A,11,,11D,,,502042,502302,260,A,3,3_6,A,11,11D,,,,992621,993361,740,502007,502337,330,992621,993361,740
410,13,16B,right,right,right,5,0,4,3,B,1,1_11,B,16,,16B,,,519157,519917,760,A,2,2_14,A,16,16B,,,,884800,885160,360,519157,519917,760,884800,885160,360
413,13,14A,right,right,right,5,0,0,1,B,1,1_13,B,14,,14A,,,596782,597062,280,A,2,2_16,A,14,14A,,,,927266,927666,400,596757,597087,330,927266,927666,400
415,13,09B,both,left,both,3,3,3,0,A,1,1_16,A,9,09B,,,,657589,658149,560,B,2,2_15,B,9,,09B,,,903612,904800,1188,657589,658149,560,903612,904800,1188
416,13,09C,left,left,left,5,0,3,5,A,1,1_16,A,9,09C,,,,660817,661197,380,B,2,2_15,B,9,,09C,,,906620,906980,360,660817,661197,380,906620,906980,360
421,13,05A,both,right,both,3,0,0,4,B,2,2_1,B,5,,05A,,,710574,710774,200,A,3,3_4,A,5,05A,,,,973580,973880,300,710509,710839,330,973565,973895,330
423,13,08A,right,right,right,0,2,0,0,A,2,2_4,A,8,08A,,,,757900,758160,260,B,2,2_4,A,8,,08A,,,760184,760644,460,757865,758195,330,760184,760644,460
424,13,02B,left,left,left,4,4,3,0,A,2,2_6,A,2,02B,,,,779174,780154,980,B,3,3_7,B,2,,02B,,,1005020,1005360,340,779174,780154,980,1005020,1005360,340
425,13,13A,both,both,right,3,2,4,2,A,2,2_7,B,13,13A,,,,796400,796820,420,B,2,2_7,B,13,,13A,,,797900,798300,400,796400,796820,420,797900,798300,400
426,13,07B,both,right,both,4,4,4,2,B,2,2_9,B,7,,07B,,,810723,810943,220,A,3,3_10,A,7,07B,,,,1066864,1067744,880,810668,810998,330,1066864,1067744,880
433,13,16C+16D,right_left,right,left,1,0,0,0,A,2,2_14,A,16,16C+16D,,,,893459,895288,1829,B,3,3_9,B,16,,16C+16D,,,1022942,1023402,460,893459,895288,1829,1022942,1023402,460
