matrix_idx,gesture_id,chain,generation,target,director,condition,participant,ent_type,code_string,code_len,num_reps,vid_len,phase,acc
75,ex2_ch1_g2_to_take_a_photo_A_TI,chain1,2,to take a photo,A,Transmission + Interaction,full3,act,2hCamera<symm-1Press>,1.0,0.0,3.544886,testing,1.0
76,ex2_ch1_g2_camera_A_TI,chain1,2,camera,A,Transmission + Interaction,full3,obj,"2hCamera<symm-1Press>,2hLens",2.0,0.0,2.079372,testing,1.0
77,ex2_ch1_g2_darkroom_A_TI,chain1,2,darkroom,A,Transmission + Interaction,full3,loc,Squint+2hPalm.Feel<right-repeated>,1.0,0.0,2.546796,testing,1.0
78,ex2_ch1_g2_frying_pan_A_TI,chain1,2,frying pan,A,Transmission + Interaction,full3,obj,"1hHoldPan<shake>,(1hHoldPan<hold>,1hPointatObj<atObj>),(1hHoldPan<shake>,1hPointatObj<atObj>)",5.0,3.0,2.64383,testing,1.0
79,ex2_ch1_g2_church_A_TI,chain1,2,church,A,Transmission + Interaction,full3,loc,"2hSpace<full>,1hCollar<leftright>",2.0,0.0,3.84075,testing,1.0
80,ex2_ch1_g2_hairdresser_A_TI,chain1,2,hairdresser,A,Transmission + Interaction,full3,person,"1hPointSelf<self-repeated>,2hScissors-HoldHair<right>",2.0,0.0,2.324423,testing,1.0
81,ex2_ch1_g2_to_cook_A_TI,chain1,2,to cook,A,Transmission + Interaction,full3,act,"2hBowl-Mix,(1hBowl,1hPour<right>),2hBowl-Mix",4.0,1.0,2.335622,testing,1.0
82,ex2_ch1_g2_hair_salon_A_TI,chain1,2,hair salon,A,Transmission + Interaction,full3,loc,"2hBox<full>,2hScissors-HoldHair<right>,2hScissors-HoldHair<left>",3.0,1.0,3.447041,testing,1.0
83,ex2_ch1_g2_scissors_A_TI,chain1,2,scissors,A,Transmission + Interaction,full3,obj,1hScissors<rightleft>,1.0,0.0,2.622297,testing,1.0
84,ex2_ch1_g2_prison_A_TI,chain1,2,prison,A,Transmission + Interaction,full3,loc,1hPalm<leftright>,1.0,0.0,2.284464,testing,1.0
85,ex2_ch1_g2_photographer_A_TI,chain1,2,photographer,A,Transmission + Interaction,full3,person,"1hPointSelf<self-repeated>,2hCamera<symm-pressRepeated*2>",2.0,0.0,2.380991,testing,1.0
86,ex2_ch1_g2_handcuffs_A_TI,chain1,2,handcuffs,A,Transmission + Interaction,full3,obj,"2hHoldWrist<right>,2hHoldWrist<left>",2.0,1.0,3.423614,testing,1.0
87,ex2_ch1_g2_to_sing_A_TI,chain1,2,to sing,A,Transmission + Interaction,full3,act,1hSing<right>,1.0,0.0,2.31448,testing,1.0
88,ex2_ch1_g2_microphone_A_TI,chain1,2,microphone,A,Transmission + Interaction,full3,obj,"Sing+1hMicrophone<hold>,1hPointatObj<atObj>",2.0,0.0,2.156802,testing,1.0
89,ex2_ch1_g2_concert_hall_A_TI,chain1,2,concert hall,A,Transmission + Interaction,full3,loc,"2hBox<full>,2hSpace<small>,1hSing<right>",3.0,0.0,2.724124,testing,1.0
90,ex2_ch1_g2_singer_A_TI,chain1,2,singer,A,Transmission + Interaction,full3,person,"1hPointSelf<self-repeated>,1hSing<right>",2.0,0.0,2.393614,testing,1.0
91,ex2_ch1_g2_bible_A_TI,chain1,2,bible,A,Transmission + Interaction,full3,obj,"read+2hOpenBook,2hOpenBook,2hOpenBook",3.0,2.0,2.791789,testing,1.0
92,ex2_ch1_g2_to_preach_A_TI,chain1,2,to preach,A,Transmission + Interaction,full3,act,1hFingerWag<right-repeated>,1.0,0.0,1.734727,testing,1.0
93,ex2_ch1_g2_vicar_A_TI,chain1,2,vicar,A,Transmission + Interaction,full3,person,"1hPointSelf<self-repeated>,1hCollar<leftright>",2.0,0.0,3.118514,testing,1.0
94,ex2_ch1_g2_to_give_a_haircut_A_TI,chain1,2,to give a haircut,A,Transmission + Interaction,full3,act,"2hScissor-HoldHair<right>,2hScissors-HoldHair<left>",2.0,0.0,2.86029,testing,1.0
95,ex2_ch1_g2_restaurant_A_TI,chain1,2,restaurant,A,Transmission + Interaction,full3,loc,"2hOpenBook,(look<right>,1hPalm,1hPointatObj<atObj-repeated>)",4.0,0.0,2.320112,testing,1.0
96,ex2_ch1_g2_church_B_TI,chain1,2,church,B,Transmission + Interaction,full4,loc,"2hBox<full>,1hCollar<leftright>",2.0,0.0,3.6931,testing,1.0
97,ex2_ch1_g2_camera_B_TI,chain1,2,camera,B,Transmission + Interaction,full4,obj,"2hCamera<asymm-1Press>,2hLens",2.0,0.0,2.225548,testing,1.0
98,ex2_ch1_g2_to_give_a_haircut_B_TI,chain1,2,to give a haircut,B,Transmission + Interaction,full4,act,"2hScissors-HoldHair<left>,2hScissors-HoldHair<right>",2.0,1.0,3.118401,testing,1.0
99,ex2_ch1_g2_hairdresser_B_TI,chain1,2,hairdresser,B,Transmission + Interaction,full4,person,"1hPointSelf<self-repeated>,2hScissors-HoldHair<left>,2hScissors-HoldHair<right>",3.0,1.0,3.254215,testing,1.0
100,ex2_ch1_g2_to_make_an_arrest_B_TI,chain1,2,to make an arrest,B,Transmission + Interaction,full4,act,"1hKnock<right>,1hBadge<right>,2hFists.wristsX<left>",3.0,0.0,3.560967,testing,1.0
101,ex2_ch1_g2_to_take_a_photo_B_TI,chain1,2,to take a photo,B,Transmission + Interaction,full4,act,2hCamera<asymm-1Press>,1.0,0.0,2.676037,testing,1.0
102,ex2_ch1_g2_scissors_B_TI,chain1,2,scissors,B,Transmission + Interaction,full4,obj,1hScissors<rightleft>,1.0,0.0,1.829162,testing,1.0
103,ex2_ch1_g2_photographer_B_TI,chain1,2,photographer,B,Transmission + Interaction,full4,person,"1hPointSelf<self-repeated>,2hCamera<asymm-pressRepeated*2>",2.0,0.0,2.524554,testing,1.0
104,ex2_ch1_g2_prison_B_TI,chain1,2,prison,B,Transmission + Interaction,full4,loc,1hPalm<rightleft>,1.0,0.0,2.774717,testing,1.0
105,ex2_ch1_g2_to_cook_B_TI,chain1,2,to cook,B,Transmission + Interaction,full4,act,"2hBowl-Mix,(1hBowl,1hPour<left>),1hPour<right>",4.0,1.0,2.616329,testing,1.0
106,ex2_ch1_g2_concert_hall_B_TI,chain1,2,concert hall,B,Transmission + Interaction,full4,loc,"2hBox<full>,1hSweep,1hSing<right>",3.0,0.0,3.353911,testing,1.0
107,ex2_ch1_g2_to_sing_B_TI,chain1,2,to sing,B,Transmission + Interaction,full4,act,1hSing<right>,1.0,0.0,2.067235,testing,1.0
108,ex2_ch1_g2_restaurant_B_TI,chain1,2,restaurant,B,Transmission + Interaction,full4,loc,"2hOpenBook,(look+nod<right>,1hPalm,1hPointatObj<atObj>)",4.0,0.0,2.371812,testing,1.0
